ID	TCGA-DD-AACL_Stage_I	TCGA-WJ-A86L_Stage_I	TCGA-EP-A2KC_Stage_I	TCGA-K7-A5RF_Stage_I	TCGA-G3-AAUZ_Stage_I	TCGA-DD-AAD1_Stage_I	TCGA-BD-A3EP_Stage_I	TCGA-DD-AAE6_Stage_I	TCGA-DD-AADJ_Stage_I	TCGA-DD-AAVZ_Stage_I	TCGA-2Y-A9GX_Stage_I	TCGA-DD-A1EG_Stage_I	TCGA-DD-AAE2_Stage_I	TCGA-XR-A8TC_Stage_I	TCGA-FV-A2QR_Stage_I	TCGA-DD-AAD2_Stage_I	TCGA-FV-A2QQ_Stage_I	TCGA-K7-A6G5_Stage_I	TCGA-DD-A4NN_Stage_I	TCGA-2Y-A9HB_Stage_I	TCGA-ED-A7PX_Stage_II	TCGA-DD-AACH_Stage_II	TCGA-ZS-A9CD_Stage_II	TCGA-5R-AA1C_Stage_II	TCGA-FV-A3I0_Stage_II	TCGA-ED-A5KG_Stage_II	TCGA-CC-5258_Stage_II	TCGA-DD-AAVU_Stage_II	TCGA-4R-AA8I_Stage_II	TCGA-KR-A7K7_Stage_II	TCGA-K7-AAU7_Stage_II	TCGA-5C-A9VG_Stage_II	TCGA-UB-A7MA_Stage_II	TCGA-CC-A9FS_Stage_II	TCGA-DD-A1EH_Stage_III	TCGA-DD-A39W_Stage_III	TCGA-CC-A7IE_Stage_III	TCGA-BC-4073_Stage_III	TCGA-CC-A7IH_Stage_III	TCGA-CC-A3MA_Stage_III	TCGA-BC-A216_Stage_III	TCGA-CC-A7II_Stage_III	TCGA-ED-A82E_Stage_III	TCGA-LG-A9QD_Stage_III	TCGA-DD-A4NE_Stage_III	TCGA-G3-A25T_Stage_III	TCGA-ED-A7XO_Stage_III	TCGA-BW-A5NP_Stage_IV	TCGA-DD-A119_Stage_IV	TCGA-DD-A1EK_Stage_IV
ENSG00000214193.8	0.954474	0.470334	0.347782	0.245435	0.302854	0.576442	0.430005	0.18062	0.275975	0.40952	0.562733	0.368568	0.228013	0.419501	0.315289	0.605151	0.337279	0.326433	0.290055	0.358322	0.843392	0.654249	0.460328	0.14017	1.24156	0.742137	0.716821	0.399621	0.525674	0.450064	0.67318	0.891176	0.636973	0.590203	0.389312	0.440182	0.693958	0.803987	0.261445	0.549614	0.481051	0.770886	1.04737	0.207336	0.379001	0.620653	0.503	0.491665	0.537511	0.514144
ENSG00000108590.9	0.368568	0.228013	0.275975	0.347782	0.245435	0.470334	0.430005	0.14017	0.620653	0.514144	0.460328	0.290055	0.302854	0.207336	0.419501	0.537511	0.440182	0.605151	1.04737	0.636973	0.67318	0.562733	0.576442	1.24156	0.481051	0.742137	0.40952	0.450064	0.491665	0.891176	0.549614	0.503	0.843392	0.326433	0.261445	0.770886	0.654249	0.337279	0.803987	0.399621	0.525674	0.389312	0.716821	0.590203	0.358322	0.954474	0.379001	0.693958	0.315289	0.18062
ENSG00000200799.1	0.14017	0.440182	1.24156	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.450064	0.315289	0.302854	0.290055	0.742137	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	1.04737	0.576442	0.326433	0.693958	0.67318	0.654249	0.891176	0.803987	0.843392	0.770886	0.636973	0.620653	0.605151	0.590203	0.716821	0.562733	0.954474	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334	0.460328
ENSG00000235875.3	0.337279	0.14017	0.742137	0.514144	0.620653	0.891176	0.843392	0.18062	0.207336	0.716821	0.228013	0.245435	0.261445	0.954474	0.275975	0.562733	0.67318	0.290055	0.590203	1.24156	0.302854	0.470334	1.04737	0.315289	0.326433	0.419501	0.347782	0.693958	0.358322	0.368568	0.549614	0.525674	0.636973	0.379001	0.460328	0.40952	0.537511	0.440182	0.503	0.654249	0.450064	0.430005	0.491665	0.576442	0.399621	0.481051	0.770886	0.389312	0.605151	0.803987
ENSG00000254577.1	0.503	0.315289	0.470334	0.399621	0.525674	0.891176	1.04737	0.419501	0.261445	0.514144	0.654249	0.440182	0.347782	1.24156	0.40952	0.245435	0.228013	0.379001	0.481051	0.207336	0.537511	0.67318	0.770886	0.18062	0.620653	0.716821	0.337279	0.302854	0.693958	0.491665	0.954474	0.636973	0.14017	0.576442	0.326433	0.549614	0.590203	0.803987	0.358322	0.389312	0.605151	0.562733	0.742137	0.450064	0.843392	0.460328	0.275975	0.368568	0.290055	0.430005
ENSG00000148677.6	0.470334	0.315289	0.440182	0.590203	0.430005	0.460328	0.326433	0.207336	0.379001	0.337279	0.954474	0.843392	0.275975	0.261445	0.514144	0.549614	0.290055	0.654249	0.450064	0.302854	1.24156	0.40952	0.620653	0.742137	1.04737	0.537511	0.693958	0.481051	0.419501	0.399621	0.803987	0.525674	6.93236	0.562733	0.368568	0.245435	0.605151	0.358322	0.491665	0.576442	0.228013	0.716821	5.09334	0.636973	0.389312	0.891176	0.67318	0.503	0.347782	0.770886
ENSG00000224236.3	0.358322	0.503	0.14017	0.18062	0.514144	0.207336	0.693958	0.891176	0.228013	0.245435	0.590203	0.389312	0.399621	0.440182	0.576442	0.742137	0.562733	0.460328	0.430005	0.261445	0.636973	0.275975	0.525674	1.04737	0.481051	0.290055	0.302854	0.491665	0.67318	0.843392	0.315289	1.24156	0.620653	0.470334	0.326433	0.337279	0.654249	0.605151	0.770886	0.549614	0.954474	0.450064	0.716821	0.40952	0.803987	0.419501	0.379001	0.537511	0.368568	0.347782
ENSG00000164220.6	0.315289	0.470334	0.549614	0.620653	0.347782	0.654249	0.770886	0.14017	0.18062	0.358322	0.954474	1.24156	0.537511	0.491665	0.576442	0.440182	0.590203	0.562733	0.67318	0.742137	0.693958	0.302854	0.450064	0.843392	0.605151	0.40952	0.514144	0.228013	0.389312	0.326433	1.04737	0.636973	0.337279	0.207336	0.891176	0.275975	0.525674	0.803987	0.368568	0.716821	0.261445	0.245435	0.379001	0.460328	0.481051	0.430005	0.503	0.399621	0.419501	0.290055
ENSG00000243064.7	0.590203	1.04737	0.620653	0.389312	0.399621	0.562733	0.440182	0.460328	0.481051	0.537511	0.347782	0.275975	0.419501	0.891176	0.337279	0.843392	0.368568	0.654249	0.470334	0.514144	0.14017	0.503	0.18062	0.207336	0.228013	0.245435	0.261445	1.24156	0.290055	0.302854	0.315289	0.326433	0.549614	0.803987	0.430005	0.525674	0.358322	0.716821	0.67318	0.576442	0.770886	0.450064	0.954474	0.491665	0.742137	0.40952	0.693958	0.636973	0.379001	0.605151
ENSG00000274808.3	0.503	0.803987	0.358322	0.399621	0.261445	0.843392	0.440182	0.620653	0.590203	0.514144	0.40952	0.337279	0.347782	0.576442	0.228013	0.716821	0.389312	0.379001	0.207336	0.470334	0.891176	0.954474	0.419501	0.18062	0.770886	0.430005	0.525674	0.245435	0.67318	0.605151	1.04737	0.14017	1.24156	0.693958	0.450064	0.481051	0.654249	0.742137	0.460328	0.491665	0.326433	0.368568	0.562733	0.636973	0.275975	0.549614	0.537511	0.290055	0.302854	0.315289
ENSG00000251138.5	1.04737	0.770886	0.742137	0.481051	1.24156	0.379001	0.620653	0.337279	0.576442	0.491665	0.549614	0.693958	0.843392	0.302854	0.460328	0.18062	0.716821	0.514144	0.14017	0.537511	0.290055	0.590203	0.470334	0.636973	0.419501	0.450064	0.525674	0.40952	0.440182	0.954474	0.891176	0.207336	0.228013	0.245435	0.261445	0.275975	0.562733	0.654249	0.315289	0.326433	0.605151	0.803987	0.347782	0.358322	0.368568	0.430005	0.67318	0.389312	0.399621	0.503
ENSG00000211947.2	0.891176	0.368568	0.562733	1.04737	0.491665	1.24156	5.99392	0.228013	0.358322	0.470334	0.954474	0.716821	0.537511	0.290055	0.315289	0.590203	0.605151	0.693958	0.275975	0.742137	0.654249	0.379001	0.399621	0.326433	0.245435	7.94424	0.450064	0.261445	0.525674	0.770886	0.636973	0.460328	0.481051	0.302854	0.67318	0.440182	0.576442	6.16685	0.419501	0.430005	0.803987	0.503	0.620653	0.337279	0.40952	0.514144	0.843392	0.549614	0.347782	0.389312
ENSG00000167807.14	0.716821	0.40952	0.654249	0.245435	0.419501	0.549614	0.636973	0.491665	0.315289	0.326433	0.18062	0.275975	0.470334	0.590203	0.537511	0.228013	0.742137	0.450064	0.460328	0.389312	0.67318	0.261445	0.290055	0.347782	0.576442	0.803987	0.337279	0.562733	1.24156	0.605151	0.620653	0.207336	0.843392	0.693958	0.481051	0.399621	0.358322	0.302854	0.503	1.04737	0.770886	0.891176	0.440182	0.430005	0.379001	0.514144	0.525674	0.954474	0.14017	0.368568
ENSG00000155252.13	0.891176	1.04737	0.514144	0.290055	0.430005	0.605151	0.389312	0.693958	0.562733	0.440182	0.716821	0.770886	0.379001	0.368568	0.14017	0.537511	0.549614	0.481051	0.358322	0.347782	0.803987	0.954474	0.742137	0.419501	0.228013	0.636973	0.654249	0.491665	0.620653	0.590203	0.843392	0.315289	0.67318	0.525674	0.207336	0.337279	0.18062	0.261445	1.24156	0.275975	0.470334	0.399621	0.326433	0.460328	0.245435	0.503	0.40952	0.302854	0.450064	0.576442
ENSG00000216136.2	0.470334	0.954474	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	0.337279	0.891176	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.590203	0.576442	1.24156	1.04737	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.843392
ENSG00000272263.1	0.716821	0.14017	0.358322	0.302854	0.67318	0.590203	0.503	0.770886	0.337279	0.481051	0.399621	0.347782	0.470334	0.275975	0.460328	0.326433	0.389312	0.562733	0.261445	0.379001	0.40952	0.549614	0.315289	0.18062	0.891176	0.491665	0.525674	0.620653	0.843392	0.576442	0.430005	0.742137	0.636973	0.693958	0.803987	0.514144	0.954474	0.207336	0.605151	0.537511	0.368568	1.24156	0.450064	0.440182	0.228013	0.654249	0.419501	1.04737	0.290055	0.245435
ENSG00000229785.1	0.430005	0.590203	0.207336	0.261445	0.14017	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.843392	0.654249	0.337279	0.326433	0.419501	0.302854	0.290055	0.275975	0.954474	0.803987	0.742137	0.245435	0.228013	1.04737	0.18062	0.503	0.315289	0.693958	0.770886	0.537511	0.576442	1.24156	0.562733	0.549614	0.716821	0.605151	0.514144	0.525674	0.491665	0.481051	0.636973	0.470334	0.67318	0.620653	0.460328	0.450064	0.440182	0.891176
ENSG00000257587.1	0.770886	0.440182	0.430005	0.419501	0.716821	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	1.04737	0.337279	0.450064	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	0.620653	0.326433	0.67318	0.891176	0.742137	0.954474	0.654249	0.636973	0.605151	0.590203	0.576442	0.562733	0.549614	0.843392	0.537511	0.525674	0.693958	0.514144	0.503	0.491665	0.481051	0.803987	0.470334	0.460328	1.24156
ENSG00000129911.7	0.620653	1.04737	0.275975	0.315289	0.379001	0.503	0.440182	0.326433	0.337279	0.389312	0.590203	0.537511	0.245435	0.368568	0.481051	0.514144	0.67318	0.460328	0.358322	0.430005	0.954474	0.549614	0.770886	0.207336	0.742137	0.450064	0.261445	0.399621	0.14017	0.891176	1.24156	0.843392	0.693958	0.803987	0.470334	0.228013	0.636973	0.562733	0.302854	0.605151	0.716821	0.576442	0.290055	0.419501	0.18062	0.525674	0.40952	0.347782	0.654249	0.491665
ENSG00000157399.13	6.66543	0.742137	0.440182	0.576442	5.00658	0.503	5.44602	6.58185	5.33709	0.716821	0.605151	1.04737	0.525674	6.30805	0.562733	0.803987	5.17279	0.620653	0.491665	5.14466	0.460328	0.891176	0.693958	0.770886	5.71782	0.67318	6.26983	6.2808	0.636973	5.98292	0.654249	5.45199	5.01715	5.35478	0.843392	6.6183	5.61988	0.450064	0.954474	0.470334	0.481051	0.514144	0.537511	0.549614	0.590203	5.53645	1.24156	5.48523	5.29407	6.20827
ENSG00000124731.11	1.24156	0.358322	0.481051	0.605151	0.389312	0.503	0.891176	0.207336	0.347782	0.537511	0.67318	0.525674	0.275975	0.337279	0.654249	0.590203	0.261445	0.460328	0.419501	0.14017	0.742137	0.491665	0.636973	0.315289	0.770886	0.440182	0.549614	0.228013	0.470334	1.04737	0.803987	0.379001	0.450064	0.245435	0.40952	0.302854	0.576442	0.954474	0.18062	0.399621	0.430005	0.620653	0.514144	0.290055	0.326433	0.693958	0.716821	0.368568	0.562733	0.843392
ENSG00000271384.1	0.891176	0.67318	0.503	0.275975	0.590203	0.40952	0.491665	0.954474	0.636973	0.537511	0.290055	0.228013	0.379001	0.18062	0.460328	0.207336	0.358322	0.620653	0.399621	0.440182	0.315289	0.245435	0.326433	0.770886	0.843392	0.337279	0.419501	1.04737	0.576442	0.549614	0.450064	0.514144	1.24156	0.654249	0.605151	0.481051	0.389312	0.302854	0.470334	0.716821	0.562733	0.693958	0.742137	0.261445	0.368568	0.803987	0.430005	0.525674	0.347782	0.14017
ENSG00000230061.2	0.803987	0.891176	0.514144	0.379001	0.693958	0.481051	0.770886	0.40952	0.207336	0.228013	0.460328	0.419501	0.326433	0.620653	0.389312	0.503	0.368568	0.302854	0.347782	0.440182	0.261445	0.954474	0.470334	0.590203	0.399621	0.549614	0.315289	0.18062	0.537511	0.716821	0.491665	0.562733	1.24156	0.450064	0.275975	0.290055	0.636973	0.654249	0.337279	0.358322	1.04737	0.525674	0.67318	0.742137	0.245435	0.576442	0.605151	0.430005	0.14017	0.843392
ENSG00000277264.1	0.337279	0.460328	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.470334	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	0.891176	0.954474	0.843392	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	1.04737	0.590203	0.576442	1.24156	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051
ENSG00000276868.1	0.430005	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.326433	0.419501	0.302854	0.636973	1.04737	0.290055	0.891176	0.275975	0.261445	0.654249	0.245435	0.228013	0.207336	0.843392	0.18062	0.742137	1.24156	0.620653	0.14017	0.803987	0.315289	0.562733	0.605151	0.770886	0.716821	0.954474	0.576442	0.549614	0.537511	0.525674	0.514144	0.67318	0.503	0.491665	0.481051	0.470334	0.460328	0.450064	0.693958	0.440182	0.590203
ENSG00000133808.4	0.261445	0.18062	0.654249	0.514144	0.275975	0.562733	0.549614	0.326433	0.290055	0.590203	0.537511	0.491665	0.368568	0.576442	0.503	0.843392	0.14017	0.389312	0.228013	0.337279	0.803987	0.891176	0.399621	0.620653	0.742137	0.770886	0.440182	0.347782	1.24156	0.358322	0.693958	0.40952	0.460328	0.954474	0.67318	0.470334	0.207336	0.716821	0.605151	0.525674	0.636973	0.315289	1.04737	0.481051	0.379001	0.419501	0.430005	0.302854	0.245435	0.450064
ENSG00000140943.15	0.261445	0.843392	0.549614	0.514144	0.14017	0.562733	0.481051	0.347782	0.245435	0.337279	0.576442	0.537511	0.491665	0.228013	0.654249	0.460328	0.275975	0.389312	0.419501	0.440182	0.693958	0.450064	0.399621	0.470334	0.770886	0.716821	0.368568	0.18062	0.803987	0.326433	0.954474	0.620653	0.605151	0.290055	0.503	0.636973	0.40952	0.67318	0.891176	1.24156	0.302854	0.590203	1.04737	0.430005	0.315289	0.742137	0.525674	0.358322	0.207336	0.379001
ENSG00000205644.5	0.14017	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	1.24156	0.347782	0.337279	0.450064	0.770886	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.803987	0.537511	0.326433	0.843392	0.576442	0.590203	0.891176	0.605151	0.620653	0.742137	0.636973	0.67318	0.562733	0.549614	0.654249	0.525674	0.716821	0.954474	0.514144	0.503	1.04737	0.693958	0.491665	0.481051	0.470334	0.460328
ENSG00000125772.11	0.430005	0.18062	0.503	0.379001	0.275975	0.954474	0.770886	0.549614	0.562733	0.654249	0.742137	0.460328	0.481051	0.693958	0.419501	0.399621	0.40952	0.261445	0.337279	0.514144	0.470334	0.843392	0.491665	0.450064	0.605151	1.24156	0.326433	0.207336	0.620653	0.290055	0.716821	0.525674	0.389312	0.228013	0.67318	0.636973	0.576442	1.04737	0.440182	0.803987	0.891176	0.347782	0.590203	0.368568	0.302854	0.245435	0.315289	0.537511	0.358322	0.14017
ENSG00000232982.1	0.605151	1.24156	0.450064	0.440182	0.430005	0.419501	0.40952	0.954474	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	0.337279	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.891176	0.590203	0.576442	1.04737	0.549614	0.537511	0.803987	0.514144	0.503	0.491665	0.481051	0.843392	0.562733	0.470334	0.770886	0.742137	0.525674
ENSG00000242083.2	0.347782	0.514144	0.40952	0.326433	0.67318	0.549614	0.290055	0.481051	0.302854	0.503	0.470334	0.716821	0.590203	0.419501	0.228013	0.576442	0.207336	0.605151	0.843392	0.430005	0.525674	0.368568	0.954474	0.14017	0.450064	0.537511	0.358322	0.491665	0.18062	0.770886	0.562733	0.460328	0.891176	0.636973	0.654249	0.245435	0.693958	0.261445	0.275975	0.440182	0.742137	1.24156	0.399621	0.379001	0.620653	0.389312	0.803987	1.04737	0.337279	0.315289
ENSG00000140464.18	0.460328	0.590203	0.430005	0.503	0.326433	0.693958	0.525674	0.549614	0.368568	0.302854	0.803987	0.620653	0.576442	0.419501	0.514144	0.636973	0.399621	0.562733	0.40952	0.654249	1.24156	0.491665	0.742137	0.228013	0.770886	1.04737	0.207336	0.18062	0.379001	0.470334	0.891176	0.261445	0.843392	0.315289	0.481051	0.14017	0.347782	0.716821	0.290055	0.605151	0.450064	0.275975	0.954474	0.440182	0.537511	0.67318	0.389312	0.337279	0.245435	0.358322
ENSG00000106012.16	0.275975	0.742137	0.67318	0.399621	0.245435	0.654249	0.537511	0.228013	0.315289	0.389312	0.576442	0.620653	0.207336	0.326433	0.440182	0.450064	0.636973	0.40952	0.549614	0.491665	1.04737	0.803987	0.368568	0.261445	0.843392	0.590203	0.18062	0.337279	0.693958	0.525674	0.954474	0.481051	0.716821	0.460328	0.503	0.470334	0.290055	0.562733	0.347782	1.24156	0.430005	0.605151	0.770886	0.302854	0.419501	0.891176	0.358322	0.514144	0.14017	0.379001
ENSG00000273812.1	0.562733	0.337279	0.347782	0.481051	0.40952	0.620653	0.399621	0.315289	0.275975	0.261445	0.491665	0.450064	0.460328	0.207336	0.549614	0.503	0.14017	0.18062	0.742137	0.803987	0.843392	0.440182	0.590203	0.228013	1.04737	0.605151	0.430005	0.245435	0.716821	0.537511	0.636973	0.576442	0.368568	0.67318	0.419501	0.290055	0.302854	0.693958	0.326433	0.654249	0.891176	0.470334	0.514144	0.379001	1.24156	0.389312	0.358322	0.525674	0.770886	0.954474
ENSG00000185684.11	0.803987	0.716821	0.549614	0.290055	0.40952	0.514144	0.491665	0.742137	0.358322	0.302854	0.620653	0.337279	0.576442	0.843392	0.460328	0.368568	0.470334	0.18062	0.389312	0.537511	0.590203	1.04737	0.419501	0.326433	0.379001	0.770886	0.67318	0.14017	0.693958	0.440182	0.954474	1.24156	0.450064	0.503	0.347782	0.430005	0.562733	0.315289	0.654249	0.399621	0.525674	0.891176	0.228013	0.605151	0.636973	0.207336	0.481051	0.245435	0.261445	0.275975
ENSG00000258765.1	0.18062	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.450064	0.803987	0.954474	0.315289	0.302854	0.290055	0.275975	0.843392	0.261445	0.245435	0.228013	0.207336	1.04737	0.525674	0.14017	0.326433	1.24156	0.716821	0.67318	0.654249	0.636973	0.620653	0.590203	0.576442	0.770886	0.549614	0.514144	0.503	0.491665	0.481051	0.470334	0.460328	0.891176	0.562733	0.537511	0.605151	0.693958	0.742137
