id	TCGA-DD-AACL_hepatitis_c	TCGA-WJ-A86L_No_Primary_factor	TCGA-EP-A2KC_hepatitis_c	TCGA-K7-A5RF_hepatitis_c	TCGA-G3-AAUZ_hepatitis_b	TCGA-DD-AAD1_hepatitis_b	TCGA-BD-A3EP_No_Primary_factor	TCGA-DD-AAE6_Not_available	TCGA-DD-AADJ_Not_available	TCGA-DD-AAVZ_hepatitis_b	TCGA-2Y-A9GX_alcohol_consumption	TCGA-DD-A1EG_alcohol_consumption	TCGA-DD-AAE2_hepatitis_b	TCGA-XR-A8TC_hepatitis_b	TCGA-FV-A2QR_other	TCGA-DD-AAD2_hepatitis_b	TCGA-FV-A2QQ_alcohol_consumption	TCGA-K7-A6G5_alcohol_consumption	TCGA-DD-A4NN_No_Primary_factor	TCGA-2Y-A9HB_alcohol_consumption	TCGA-ED-A7PX_No_Primary_factor	TCGA-DD-AACH_hepatitis_b	TCGA-ZS-A9CD_Not_available	TCGA-5R-AA1C_No_Primary_factor	TCGA-FV-A3I0_No_Primary_factor	TCGA-ED-A5KG_No_Primary_factor	TCGA-CC-5258_Not_available	TCGA-DD-AAVU_hepatitis_b	TCGA-4R-AA8I_non-alcoholic_fatty_liver_disease	TCGA-KR-A7K7_No_Primary_factor	TCGA-K7-AAU7_hepatitis_c	TCGA-5C-A9VG_other	TCGA-UB-A7MA_No_Primary_factor	TCGA-CC-A9FS_alcohol_consumption	TCGA-DD-A1EH_hepatitis_b	TCGA-DD-A39W_No_Primary_factor	TCGA-CC-A7IE_alcohol_consumption	TCGA-BC-4073_hemochromatosis	TCGA-CC-A7IH_alcohol_consumption	TCGA-CC-A3MA_alcohol_consumption	TCGA-BC-A216_No_Primary_factor	TCGA-CC-A7II_alcohol_consumption	TCGA-ED-A82E_No_Primary_factor	TCGA-LG-A9QD_No_Primary_factor	TCGA-DD-A4NE_No_Primary_factor	TCGA-G3-A25T_hepatitis_c	TCGA-ED-A7XO_No_Primary_factor	TCGA-BW-A5NP_hepatitis_b	TCGA-DD-A119_hepatitis_b	TCGA-DD-A1EK_other
ENSG00000116251.8	5.69743	0.620653	0.693958	0.514144	5.50353	5.05743	5.04454	5.39759	0.67318	0.576442	0.605151	0.803987	5.04919	0.590203	0.481051	0.954474	0.562733	0.537511	0.891176	0.742137	0.716821	0.491665	0.843392	0.770886	0.654249	5.95625	6.15212	6.78523	1.04737	5.4432	5.61962	5.63374	5.2051	0.549614	5.21607	1.24156	5.49692	5.02928	5.27025	5.26476	5.21349	7.26946	5.71642	0.525674	0.636973	6.9217	5.28771	6.22197	5.42567	0.503
ENSG00000262343.1	1.04737	0.440182	0.843392	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.450064	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	0.954474	0.562733	0.326433	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.590203	0.576442	0.803987	0.770886	0.891176	1.24156	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334	0.460328
ENSG00000237721.1	0.576442	1.24156	0.302854	0.419501	0.590203	0.693958	0.503	0.337279	0.245435	0.430005	1.04737	0.368568	0.379001	0.891176	0.207336	0.742137	0.67318	0.326433	0.389312	0.14017	0.954474	0.358322	0.537511	0.440182	0.636973	0.654249	0.481051	0.228013	0.770886	0.605151	0.450064	0.491665	0.716821	0.261445	0.275975	0.315289	0.347782	0.525674	0.290055	0.470334	0.843392	0.40952	0.562733	0.620653	0.549614	0.514144	0.18062	0.460328	0.399621	0.803987
ENSG00000171931.11	0.590203	0.302854	0.693958	0.419501	0.481051	0.450064	0.605151	0.460328	0.14017	0.389312	0.803987	0.67318	0.18062	0.470334	0.207336	0.636973	0.954474	0.716821	0.358322	0.620653	0.315289	0.770886	0.843392	1.24156	0.430005	0.326433	0.537511	0.562733	1.04737	0.742137	0.654249	0.245435	0.440182	0.40952	0.275975	0.525674	0.491665	0.290055	0.891176	0.576442	0.399621	0.368568	0.347782	0.549614	0.379001	0.228013	0.337279	0.503	0.514144	0.261445
ENSG00000172538.6	0.419501	0.399621	0.620653	0.389312	0.379001	0.368568	0.358322	0.347782	0.843392	0.337279	0.770886	0.590203	0.326433	0.315289	0.40952	0.290055	0.67318	0.275975	0.261445	0.636973	0.245435	0.228013	0.207336	0.18062	0.716821	0.803987	0.14017	0.302854	1.04737	0.693958	1.24156	0.742137	0.576442	0.549614	0.537511	0.525674	0.514144	0.891176	0.605151	0.562733	0.491665	0.954474	0.481051	0.470334	0.460328	0.450064	0.440182	0.430005	0.654249	0.503
ENSG00000012817.14	0.261445	0.14017	0.742137	0.549614	0.481051	0.389312	0.18062	0.358322	0.207336	0.843392	0.693958	0.514144	0.620653	0.40952	0.525674	0.491665	0.590203	0.470334	0.379001	0.654249	0.228013	1.24156	0.503	0.605151	0.245435	0.337279	0.67318	0.576442	0.891176	0.275975	1.04737	0.440182	0.399621	0.636973	0.803987	0.290055	0.460328	0.450064	0.954474	0.770886	0.430005	0.716821	0.326433	0.537511	0.315289	0.302854	0.562733	0.347782	0.419501	0.368568
ENSG00000243319.6	0.228013	0.399621	0.636973	0.693958	0.389312	0.379001	0.368568	0.358322	0.803987	0.347782	1.24156	0.843392	0.620653	0.337279	0.326433	0.315289	0.891176	0.67318	0.40952	0.654249	0.290055	0.605151	0.275975	0.261445	0.245435	0.562733	0.576442	0.207336	0.742137	0.18062	0.14017	0.302854	0.716821	0.537511	0.514144	0.503	0.491665	0.590203	0.481051	0.954474	0.470334	1.04737	0.450064	0.440182	0.549614	0.419501	0.770886	0.430005	0.460328	0.525674
ENSG00000274874.1	0.347782	0.450064	0.379001	0.419501	0.460328	0.954474	0.742137	0.440182	0.67318	0.549614	0.315289	0.302854	0.620653	0.275975	0.430005	0.207336	1.24156	0.389312	0.843392	0.18062	0.590203	0.337279	0.605151	0.562733	0.537511	0.491665	0.358322	0.14017	0.470334	0.40952	0.636973	0.693958	0.576442	0.228013	0.245435	0.525674	0.261445	0.891176	0.368568	0.290055	0.514144	0.770886	0.716821	0.503	0.399621	1.04737	0.803987	0.326433	0.654249	0.481051
ENSG00000237472.1	0.18062	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.954474	0.358322	0.347782	0.337279	0.440182	0.315289	0.843392	0.302854	0.290055	0.275975	0.716821	0.261445	0.245435	0.228013	0.891176	0.207336	1.04737	0.605151	0.14017	0.326433	0.576442	0.620653	0.636973	0.654249	0.67318	1.24156	0.590203	0.562733	0.549614	0.537511	0.525674	0.770886	0.742137	0.514144	0.693958	0.503	0.803987	0.491665	0.481051	0.470334	0.460328	0.450064
ENSG00000082684.13	0.389312	0.337279	0.514144	0.207336	0.315289	0.742137	0.843392	0.302854	0.460328	0.379001	0.481051	0.419501	0.430005	0.491665	0.576442	0.525674	0.549614	0.228013	1.24156	0.399621	0.803987	0.537511	0.590203	0.18062	0.954474	0.770886	0.503	0.290055	0.326433	0.347782	0.470334	0.716821	1.04737	0.358322	0.605151	0.245435	0.693958	0.40952	0.562733	0.368568	0.67318	0.654249	0.891176	0.14017	0.636973	0.620653	0.275975	0.450064	0.261445	0.440182
ENSG00000254226.4	0.549614	0.14017	0.843392	0.537511	0.18062	0.450064	0.207336	0.228013	0.245435	0.261445	0.576442	0.389312	0.275975	0.40952	0.290055	0.716821	0.514144	0.302854	1.04737	0.419501	0.430005	0.470334	0.440182	0.590203	0.803987	0.636973	0.460328	0.315289	0.891176	0.742137	0.770886	0.562733	0.954474	0.326433	0.379001	0.67318	0.620653	0.605151	0.481051	0.693958	0.491665	1.24156	0.368568	0.358322	0.525674	0.399621	0.654249	0.503	0.347782	0.337279
ENSG00000067048.15	0.228013	0.14017	0.67318	0.654249	0.503	0.368568	0.358322	0.347782	0.18062	0.803987	0.605151	0.525674	0.693958	0.40952	0.537511	0.460328	0.549614	0.470334	0.302854	0.576442	0.207336	0.742137	0.514144	0.562733	0.337279	0.261445	1.04737	0.491665	0.716821	0.379001	0.954474	0.430005	0.399621	0.636973	0.891176	0.315289	0.440182	0.481051	0.843392	0.770886	0.419501	1.24156	0.245435	0.590203	0.326433	0.275975	0.620653	0.290055	0.450064	0.389312
ENSG00000272944.1	0.18062	0.843392	0.450064	0.742137	0.379001	0.770886	0.67318	0.40952	0.440182	0.228013	0.620653	0.537511	0.337279	0.389312	0.419501	0.326433	0.470334	0.261445	0.245435	0.460328	0.693958	0.302854	0.525674	0.14017	0.891176	0.654249	0.207336	0.491665	0.503	0.481051	0.716821	0.605151	0.636973	0.275975	0.290055	0.562733	0.368568	0.315289	0.549614	1.04737	0.430005	0.576442	0.954474	0.399621	0.590203	1.24156	0.803987	0.358322	0.347782	0.514144
ENSG00000239219.2	0.803987	0.620653	0.460328	0.389312	0.40952	0.326433	0.654249	1.04737	0.302854	0.290055	0.491665	0.261445	0.430005	0.954474	0.590203	0.14017	0.18062	0.207336	0.562733	0.576442	0.514144	0.419501	0.228013	0.245435	0.67318	1.24156	0.636973	0.275975	0.843392	0.481051	0.525674	0.693958	0.503	0.315289	0.605151	0.716821	0.337279	0.537511	0.450064	0.368568	0.470334	0.742137	0.549614	0.440182	0.770886	0.891176	0.358322	0.399621	0.379001	0.347782
ENSG00000203797.8	0.605151	0.67318	0.891176	1.04737	0.275975	0.40952	0.636973	0.954474	0.716821	0.742137	0.460328	0.290055	0.693958	0.843392	0.261445	0.358322	0.450064	0.440182	0.347782	0.379001	0.326433	0.514144	0.537511	0.503	0.368568	0.399621	0.419501	0.549614	0.562733	0.803987	0.590203	0.389312	0.491665	0.470334	0.245435	0.770886	0.207336	0.576442	0.430005	0.228013	0.525674	0.14017	0.481051	0.620653	1.24156	0.302854	0.654249	0.18062	0.315289	0.337279
ENSG00000101197.11	1.24156	0.576442	0.549614	0.470334	0.302854	0.399621	0.537511	0.18062	0.14017	0.347782	0.891176	0.954474	0.207336	0.228013	0.514144	0.770886	0.562733	0.460328	0.358322	0.620653	0.636973	0.326433	0.503	0.261445	0.693958	0.716821	0.590203	0.275975	0.450064	0.379001	1.04737	0.742137	0.491665	0.315289	0.389312	0.368568	0.605151	0.654249	0.290055	0.440182	0.481051	0.67318	0.525674	0.337279	0.245435	0.843392	0.40952	0.419501	0.430005	0.803987
ENSG00000228414.5	0.67318	0.14017	0.481051	0.18062	0.207336	0.620653	0.803987	0.228013	0.245435	0.261445	0.549614	0.460328	0.275975	0.843392	0.537511	0.290055	0.302854	0.315289	0.491665	0.326433	0.576442	0.891176	0.605151	1.24156	0.654249	0.770886	1.04737	0.337279	0.590203	0.525674	0.347782	0.693958	0.562733	0.358322	0.368568	0.514144	0.742137	0.716821	0.430005	0.636973	0.503	0.450064	0.440182	0.470334	0.419501	0.40952	0.954474	0.399621	0.389312	0.379001
ENSG00000172935.8	0.636973	0.207336	0.605151	0.654249	0.315289	0.590203	0.576442	0.245435	0.716821	0.67318	0.503	0.693958	0.326433	0.742137	1.24156	0.491665	0.337279	0.368568	0.770886	0.525674	0.549614	0.290055	0.620653	0.261445	0.450064	0.954474	1.04737	0.470334	0.358322	0.14017	0.440182	0.430005	0.399621	0.891176	0.803987	0.228013	0.419501	0.389312	0.843392	0.302854	0.18062	0.379001	0.275975	0.347782	0.537511	0.40952	0.460328	0.514144	0.481051	0.562733
ENSG00000259032.2	0.18062	0.636973	0.549614	0.620653	0.337279	0.368568	0.481051	0.261445	0.290055	0.326433	0.450064	0.379001	0.389312	0.605151	0.430005	0.14017	0.228013	0.654249	0.803987	0.40952	0.843392	0.742137	0.576442	0.954474	0.440182	0.590203	0.460328	0.537511	0.347782	0.503	0.207336	0.525674	1.04737	0.770886	0.514144	0.245435	0.470334	0.302854	0.891176	0.693958	0.562733	0.275975	0.491665	0.315289	1.24156	0.399621	0.67318	0.716821	0.419501	0.358322
ENSG00000269961.1	0.843392	1.04737	0.605151	0.460328	0.620653	0.261445	0.389312	0.549614	0.207336	0.228013	0.440182	0.419501	0.636973	0.18062	0.514144	0.450064	0.347782	0.290055	0.537511	0.491665	0.358322	0.302854	0.379001	0.954474	0.326433	0.770886	0.14017	0.716821	0.891176	0.315289	0.430005	0.481051	0.654249	0.562733	0.337279	0.67318	0.470334	0.503	0.590203	0.803987	0.399621	0.275975	0.693958	0.525674	0.368568	1.24156	0.576442	0.40952	0.245435	0.742137
ENSG00000255275.3	0.843392	0.503	0.954474	0.399621	0.302854	0.549614	0.537511	0.636973	0.440182	0.245435	0.207336	0.18062	0.14017	0.470334	0.491665	0.742137	0.716821	0.693958	0.450064	0.770886	0.891176	0.620653	1.04737	0.358322	0.40952	0.525674	0.605151	0.419501	0.803987	0.379001	0.562733	1.24156	0.514144	0.389312	0.228013	0.67318	0.261445	0.275975	0.654249	0.290055	0.590203	0.315289	0.576442	0.337279	0.481051	0.347782	0.430005	0.460328	0.368568	0.326433
ENSG00000240975.1	0.954474	0.481051	0.576442	0.460328	0.337279	0.525674	0.693958	0.470334	0.537511	0.315289	0.770886	0.742137	0.358322	0.347782	0.275975	0.261445	0.440182	0.419501	0.389312	0.716821	0.228013	0.605151	0.514144	0.207336	0.18062	0.290055	0.14017	0.590203	0.843392	0.891176	1.24156	0.654249	0.245435	0.620653	0.549614	0.399621	0.491665	0.636973	0.302854	0.430005	0.67318	1.04737	0.379001	0.368568	0.450064	0.562733	0.326433	0.803987	0.40952	0.503
ENSG00000105519.11	0.399621	0.693958	0.67318	0.290055	0.562733	0.503	0.605151	0.470334	0.389312	0.440182	0.430005	0.261445	0.302854	0.537511	0.481051	0.347782	0.460328	0.337279	0.716821	0.491665	1.24156	0.18062	0.368568	0.245435	0.954474	0.770886	0.14017	0.636973	0.514144	0.620653	0.450064	0.549614	0.590203	0.525674	0.40952	0.315289	0.742137	0.207336	0.419501	1.04737	0.803987	0.228013	0.654249	0.275975	0.379001	0.891176	0.576442	0.843392	0.326433	0.358322
ENSG00000217824.1	0.14017	0.525674	0.430005	0.245435	0.290055	0.562733	0.302854	0.503	0.843392	0.514144	0.491665	0.389312	0.399621	0.605151	0.275975	1.04737	0.803987	0.460328	1.24156	0.693958	0.18062	0.379001	0.654249	0.207336	0.470334	0.549614	0.315289	0.326433	0.337279	0.620653	0.358322	0.481051	0.368568	0.636973	0.576442	0.450064	0.742137	0.347782	0.419501	0.954474	0.440182	0.891176	0.590203	0.40952	0.261445	0.67318	0.228013	0.770886	0.716821	0.537511
ENSG00000214195.4	0.742137	0.40952	0.562733	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.636973	0.67318	0.326433	0.419501	0.302854	0.290055	0.275975	0.261445	0.576442	0.245435	0.228013	0.207336	0.843392	0.18062	0.716821	0.891176	0.525674	0.14017	0.315289	0.605151	0.440182	0.450064	0.803987	0.620653	0.503	0.514144	0.654249	0.770886	0.549614	0.693958	0.590203	1.04737	0.537511	0.491665	0.481051	0.954474	1.24156	0.470334	0.460328	0.430005
ENSG00000201659.1	0.440182	0.693958	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.67318	0.337279	0.562733	0.326433	0.419501	0.302854	0.290055	0.590203	0.275975	0.261445	0.245435	0.716821	0.228013	0.207336	1.04737	0.954474	0.18062	0.14017	0.654249	0.315289	0.620653	0.770886	0.636973	1.24156	0.491665	0.503	0.576442	0.514144	0.525674	0.537511	0.891176	0.843392	0.549614	0.803987	0.481051	0.605151	0.470334	0.742137	0.460328	0.450064	0.430005
ENSG00000148513.16	0.389312	0.954474	0.14017	0.18062	0.770886	0.803987	0.525674	0.207336	0.228013	0.742137	0.590203	0.245435	0.716821	0.549614	0.261445	0.891176	0.481051	0.275975	0.290055	0.693958	0.302854	1.04737	0.514144	0.315289	0.326433	0.337279	0.347782	0.358322	0.605151	0.368568	0.636973	0.379001	0.503	0.491665	0.450064	0.460328	0.399621	1.24156	0.654249	0.576442	0.67318	0.562733	0.440182	0.537511	0.843392	0.419501	0.620653	0.40952	0.470334	0.430005
ENSG00000280697.1	0.450064	0.742137	0.302854	0.18062	0.245435	0.891176	0.843392	0.290055	0.14017	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.326433	0.315289	0.654249	0.40952	0.770886	0.620653	0.275975	0.261445	0.716821	1.24156	0.228013	0.207336	0.803987	0.576442	1.04737	0.590203	0.562733	0.549614	0.605151	0.693958	0.537511	0.525674	0.514144	0.503	0.67318	0.491665	0.481051	0.636973	0.470334	0.460328	0.954474	0.440182	0.430005	0.419501
ENSG00000271771.1	0.207336	0.419501	0.67318	0.40952	0.399621	0.389312	0.891176	0.379001	0.368568	0.358322	0.347782	0.654249	0.337279	0.326433	0.430005	0.302854	0.290055	0.742137	0.275975	0.693958	0.261445	0.636973	0.245435	0.228013	1.24156	0.549614	0.620653	0.18062	0.14017	0.315289	0.576442	0.562733	0.843392	0.803987	0.605151	0.590203	0.537511	0.954474	0.525674	0.770886	1.04737	0.716821	0.514144	0.503	0.491665	0.481051	0.470334	0.460328	0.450064	0.440182
ENSG00000179818.12	0.290055	0.954474	0.549614	0.450064	0.440182	0.716821	0.315289	0.620653	0.207336	0.347782	0.605151	0.228013	0.576442	0.525674	0.245435	0.419501	0.379001	0.14017	0.491665	0.67318	0.261445	0.654249	0.302854	0.326433	0.843392	0.803987	0.514144	0.368568	0.481051	0.460328	0.636973	0.430005	1.04737	0.358322	0.742137	0.275975	0.399621	0.389312	0.337279	0.503	1.24156	0.40952	0.891176	0.693958	0.770886	0.562733	0.537511	0.590203	0.18062	0.470334
ENSG00000235013.1	0.440182	0.419501	0.40952	0.399621	0.389312	0.379001	1.04737	0.843392	0.368568	0.891176	0.358322	0.693958	0.347782	0.716821	0.337279	0.326433	0.430005	0.770886	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.954474	0.67318	0.18062	0.14017	0.315289	0.620653	0.562733	0.576442	0.590203	0.654249	0.605151	0.636973	0.537511	0.525674	0.803987	0.514144	1.24156	0.503	0.491665	0.481051	0.470334	0.460328	0.450064	0.742137	0.549614
ENSG00000142892.13	0.379001	0.562733	0.419501	0.430005	0.302854	0.491665	0.67318	0.228013	0.14017	0.207336	0.514144	0.525674	0.576442	0.389312	0.742137	0.290055	0.368568	0.40952	0.245435	0.450064	0.275975	0.636973	0.337279	0.654249	0.620653	0.891176	0.358322	0.261445	0.954474	0.18062	0.716821	0.460328	0.590203	0.503	0.440182	0.605151	0.326433	0.693958	0.803987	1.24156	1.04737	0.315289	0.399621	0.481051	0.770886	0.537511	0.843392	0.470334	0.347782	0.549614
ENSG00000276576.1	0.389312	0.605151	0.503	0.399621	0.620653	0.379001	0.368568	0.347782	0.67318	0.891176	0.576442	0.326433	0.261445	0.525674	0.315289	0.654249	0.14017	0.18062	0.514144	0.537511	0.207336	0.491665	0.228013	0.245435	1.24156	1.04737	0.481051	0.590203	0.275975	0.549614	0.290055	0.302854	0.460328	0.562733	0.693958	0.337279	0.636973	0.716821	0.742137	0.843392	0.770886	0.40952	0.419501	0.440182	0.470334	0.450064	0.954474	0.430005	0.803987	0.358322
ENSG00000116652.6	0.537511	0.450064	0.620653	0.347782	0.207336	0.576442	0.503	0.228013	0.40952	0.379001	0.770886	0.481051	0.290055	0.654249	0.358322	0.261445	0.430005	0.245435	0.315289	0.326433	0.491665	0.843392	0.460328	0.549614	0.716821	0.891176	0.525674	0.14017	0.803987	0.337279	1.24156	0.368568	0.67318	0.440182	0.275975	0.419501	0.389312	0.590203	0.693958	0.954474	0.636973	0.562733	1.04737	0.302854	0.742137	0.605151	0.470334	0.514144	0.18062	0.399621
ENSG00000258500.2	0.430005	0.40952	0.654249	0.399621	0.389312	0.379001	0.770886	0.368568	0.358322	0.347782	0.337279	0.620653	0.326433	0.419501	0.693958	0.302854	0.67318	0.290055	0.803987	0.275975	0.954474	0.261445	0.245435	0.228013	0.891176	0.742137	0.207336	0.18062	0.716821	0.14017	0.315289	0.525674	0.590203	0.537511	0.576442	0.562733	0.514144	0.605151	0.636973	0.549614	0.491665	1.24156	0.481051	0.470334	0.843392	0.460328	1.04737	0.450064	0.440182	0.503
